Exposure,VehValue,VehAge,VehBody,Gender,DrivAge,ClaimOcc
0.3039014374,1.06,old cars,Hatchback,Female,young people,0
0.6488706365,1.03,young cars,Hatchback,Female,older work. people,0
0.5694729637,3.26,young cars,Utility,Female,young people,0
0.3175906913,4.14,young cars,Station wagon,Female,young people,0
0.6488706365,0.72,oldest cars,Hatchback,Female,young people,0
0.8542094456,2.01,old cars,Hardtop,Male,older work. people,0
0.8542094456,1.6,old cars,Panel van,Male,older work. people,0
0.5557837098,1.47,young cars,Hatchback,Male,oldest people,0
0.3613963039,0.52,oldest cars,Hatchback,Female,working people,0
0.5201916495,0.38,oldest cars,Hatchback,Female,older work. people,0
0.8542094456,1.38,young cars,Hatchback,Male,young people,0
0.8542094456,1.22,old cars,Hatchback,Male,older work. people,0
0.4928131417,1.0,young cars,Hatchback,Female,older work. people,0
0.3148528405,7.04,youngest cars,Station wagon,Male,old people,0
0.4845995893,1.66,old cars,Sedan,Male,oldest people,1
0.3915126626,2.35,young cars,Sedan,Male,older work. people,0
0.9938398357,1.51,old cars,Sedan,Female,older work. people,1
0.5393566051,0.76,old cars,Hatchback,Male,older work. people,1
0.4517453799,0.27,oldest cars,Hatchback,Female,young people,0
0.5941136208,0.89,old cars,Hatchback,Female,working people,0
0.5941136208,1.95,youngest cars,Hatchback,Male,youngest people,0
0.5366187543,0.39,oldest cars,Sedan,Male,old people,0
0.5941136208,3.86,young cars,Station wagon,Female,young people,0
0.59137577,1.37,youngest cars,Hatchback,Female,youngest people,0
0.9993155373,1.3,young cars,Hatchback,Female,young people,0
0.0301163587,1.44,young cars,Hatchback,Female,youngest people,0
0.462696783,1.349,youngest cars,Hatchback,Female,old people,0
0.3175906913,1.39,old cars,Hatchback,Female,young people,0
0.2874743326,1.0,oldest cars,Station wagon,Male,working people,0
0.0684462697,1.51,young cars,Hatchback,Female,young people,0
0.5941136208,4.45,youngest cars,Station wagon,Female,working people,0
0.5366187543,2.17,young cars,Sedan,Female,older work. people,0
0.8542094456,0.87,old cars,Hatchback,Male,working people,0
0.848733744,4.09,youngest cars,Utility,Male,young people,0
0.4052019165,1.31,young cars,Hatchback,Male,youngest people,0
0.8542094456,1.9,youngest cars,Sedan,Female,older work. people,0
0.5776865161,2.42,youngest cars,Sedan,Female,older work. people,0
0.4216290212,1.05,oldest cars,Hardtop,Female,oldest people,0
0.5941136208,1.42,old cars,Truck,Male,older work. people,0
0.8542094456,3.0,old cars,Station wagon,Male,working people,0
0.6543463381,1.89,old cars,Station wagon,Male,young people,1
0.2518822724,2.61,young cars,Station wagon,Male,older work. people,0
0.5366187543,0.93,oldest cars,Coupe,Female,older work. people,0
0.4052019165,1.49,young cars,Hatchback,Female,young people,0
