Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region,ClaimIndicator
0.61,B,5,4,27,68,B5,Regular,79,R24,0
0.59,A,6,21,51,50,B3,Regular,20,R24,0
0.07,D,5,0,37,60,B12,Regular,534,R11,1
0.1,A,6,9,28,54,B6,Diesel,27,R24,0
0.37,C,5,3,77,50,B4,Diesel,139,R25,0
0.08,E,7,7,39,51,B12,Diesel,2983,R31,0
0.19,E,7,17,62,50,B1,Regular,9307,R82,0
0.16,C,6,6,35,62,B2,Diesel,269,R91,0
0.07,E,6,8,25,76,B12,Regular,3103,R82,0
0.28,C,6,2,46,50,B3,Regular,121,R91,1
1.0,D,6,5,37,50,B3,Regular,650,R53,0
0.12,A,6,12,37,50,B2,Diesel,22,R24,0
1.0,E,10,13,53,50,B2,Diesel,4128,R52,0
1.0,C,7,7,31,60,B2,Regular,102,R54,0
0.3,E,7,1,63,50,B12,Diesel,4762,R93,0
0.11,B,10,2,51,72,B12,Regular,58,R73,0
1.0,C,5,19,27,64,B1,Regular,214,R26,0
0.49,A,6,8,47,55,B2,Diesel,15,R72,0
1.0,C,7,15,62,50,B2,Regular,251,R25,0
0.14,C,4,1,34,68,B12,Diesel,204,R31,0
0.5,B,6,4,57,50,B2,Diesel,57,R24,0
1.0,C,6,11,67,50,B2,Regular,393,R24,1
0.98,A,5,2,64,50,B2,Regular,21,R24,0
0.49,B,4,1,77,50,B4,Regular,88,R73,0
0.38,D,6,14,53,51,B6,Regular,675,R91,0
0.37,C,5,0,50,50,B1,Diesel,144,R24,0
1.0,C,6,13,49,50,B4,Regular,222,R24,0
0.55,C,7,3,25,95,B2,Regular,405,R24,0
0.29,C,6,0,36,50,B1,Regular,210,R82,0
0.03,C,7,1,49,50,B12,Diesel,177,R11,0
0.32,F,5,1,38,92,B12,Diesel,27000,R11,0
1.0,E,5,11,33,50,B2,Regular,5449,R82,0
0.2,C,4,11,31,100,B2,Diesel,192,R24,0
0.02,A,7,19,37,95,B1,Diesel,46,R24,0
0.22,E,7,6,40,72,B5,Regular,3688,R82,0
0.17,C,9,0,33,50,B3,Diesel,388,R93,0
0.67,C,4,7,53,54,B6,Regular,149,R24,0
1.0,C,6,8,64,50,B2,Diesel,102,R53,0
1.0,D,12,2,74,50,B10,Regular,883,R93,0
0.16,D,7,4,39,50,B2,Regular,1895,R31,0
1.0,B,8,15,31,72,B2,Diesel,76,R54,0
0.48,C,5,9,54,50,B1,Regular,204,R25,0
1.0,C,6,10,49,64,B1,Regular,383,R93,0
0.92,B,5,16,27,72,B2,Diesel,50,R24,0
0.5,E,6,5,52,50,B6,Regular,5433,R93,0
1.0,B,7,22,34,50,B2,Regular,66,R73,0
1.0,E,5,11,33,147,B2,Diesel,2252,R82,1
0.25,C,5,10,30,64,B2,Diesel,118,R24,0
0.08,D,6,2,31,54,B1,Diesel,1426,R82,0
0.08,B,10,18,36,50,B3,Regular,83,R24,0
1.0,D,10,0,50,50,B12,Diesel,824,R91,0
0.73,D,8,2,40,50,B12,Diesel,1421,R11,0
1.0,C,4,6,47,50,B2,Regular,405,R24,0
0.51,C,4,3,41,58,B12,Regular,271,R93,0
0.24,B,7,8,50,55,B2,Diesel,97,R91,0
1.0,B,5,7,37,50,B1,Regular,91,R24,0
1.0,F,6,4,28,50,B2,Regular,15386,R11,0
0.8,A,7,2,67,85,B12,Diesel,41,R91,0
1.0,C,7,1,55,50,B1,Diesel,229,R53,0
0.1,C,6,0,54,50,B12,Diesel,200,R31,0
1.0,C,5,12,44,50,B2,Diesel,115,R11,0
0.17,D,7,2,63,50,B12,Regular,1699,R91,0
1.0,C,7,15,36,57,B1,Regular,405,R24,0
0.55,C,12,3,30,85,B12,Diesel,188,R22,0
0.36,C,4,3,81,90,B12,Regular,462,R72,0
0.09,E,7,4,60,50,B12,Regular,3301,R73,0
0.75,E,6,10,52,81,B3,Regular,4128,R52,0
1.0,E,6,1,40,52,B5,Diesel,3866,R24,0
0.16,B,6,11,54,50,B1,Diesel,83,R24,0
0.07,E,10,8,41,59,B1,Regular,3430,R82,0
0.29,D,5,2,54,50,B12,Regular,585,R11,0
0.05,D,5,2,38,80,B12,Diesel,1535,R72,0
1.0,C,5,8,32,68,B2,Diesel,146,R24,0
1.0,C,5,5,54,50,B3,Diesel,193,R52,1
0.52,C,7,9,38,80,B2,Regular,380,R93,0
0.27,E,6,4,39,71,B12,Regular,5467,R72,0
0.11,D,7,9,30,90,B2,Diesel,1408,R52,0
0.08,C,6,3,30,57,B1,Diesel,270,R24,0
0.16,D,4,19,41,68,B6,Regular,1313,R24,0
0.21,B,4,17,61,50,B4,Regular,64,R53,0
0.46,C,7,1,40,57,B3,Diesel,144,R82,0
1.0,D,7,3,53,50,B1,Regular,747,R53,0
0.08,E,6,17,42,50,B1,Diesel,2020,R23,0
0.6,D,12,1,45,50,B12,Diesel,1005,R93,0
0.27,A,5,11,19,100,B5,Regular,37,R24,0
0.1,C,9,0,52,50,B12,Regular,187,R82,1
1.0,B,4,18,53,50,B1,Regular,93,R52,0
1.0,C,5,4,57,50,B5,Regular,473,R53,0
1.0,B,4,6,80,50,B2,Regular,50,R24,0
1.0,A,7,18,35,68,B2,Regular,44,R24,0
0.04,A,4,5,69,50,B12,Regular,20,R52,0
1.0,D,6,3,45,50,B14,Diesel,776,R41,0
1.2,E,6,4,47,51,B1,Diesel,2715,R24,0
1.0,A,8,13,53,50,B2,Diesel,21,R24,0
0.13,A,7,6,19,100,B1,Diesel,44,R52,0
0.13,A,10,0,39,50,B12,Regular,31,R91,0
1.0,E,5,10,42,50,B5,Diesel,4128,R52,0
0.35,C,7,6,50,50,B1,Diesel,483,R91,1
0.03,B,6,10,22,85,B1,Diesel,52,R31,0
0.83,E,6,1,76,118,B12,Regular,2365,R31,0
0.76,A,5,0,50,50,B1,Regular,49,R25,0
0.78,D,7,5,50,50,B11,Diesel,1127,R24,1
0.03,C,8,0,60,50,B12,Diesel,207,R82,0
0.54,D,4,4,42,50,B12,Regular,1510,R11,0
1.0,E,5,8,57,50,B1,Regular,2377,R82,0
0.11,F,7,1,31,57,B12,Regular,27000,R11,0
1.0,A,6,16,75,50,B2,Regular,23,R24,0
0.08,E,5,3,41,50,B2,Diesel,4059,R23,0
