iter	RMSE
0	1.19949529
1	1.169277463
2	1.141099517
3	1.113827927
4	1.089143882
5	1.065976532
6	1.043849532
7	1.02388083
8	1.005603028
9	0.9885449024
10	0.9726258889
11	0.9582842162
12	0.9448119647
13	0.9309914621
14	0.9191302341
15	0.9080450714
16	0.8985697612
17	0.8891232225
18	0.879758649
19	0.8720282254
20	0.8646565762
21	0.8575982447
22	0.8512312253
23	0.8450162983
24	0.8392888814
25	0.834773723
26	0.8300074087
27	0.8258522063
28	0.8218392019
29	0.8178487342
30	0.8143913491
31	0.8111109378
32	0.8078760518
33	0.8046098775
34	0.8023635419
35	0.7998722386
36	0.7978821386
37	0.7960945303
38	0.7934562323
39	0.791272408
40	0.7893894651
41	0.7875772803
42	0.7859703833
43	0.7839872869
44	0.7824526674
45	0.7805936445
46	0.7794516042
47	0.7784113696
48	0.7773924377
49	0.7766910864
50	0.7755381111
51	0.7741704706
52	0.7727519298
53	0.771671754
54	0.7702767451
55	0.7690386233
56	0.7680905706
57	0.7667970471
58	0.7657480708
59	0.7651930789
60	0.7644840056
61	0.7634504121
62	0.7626132088
63	0.7620518981
64	0.7612269558
65	0.76095843
66	0.7600465444
67	0.7592501383
68	0.7585860143
69	0.7576991849
70	0.757007126
71	0.7564190485
72	0.7560438008
73	0.7554259624
74	0.7548109616
75	0.7541816285
76	0.7535753339
77	0.7527861846
78	0.7522297929
79	0.7516700373
80	0.7510579613
81	0.7505552252
82	0.7500270557
83	0.7495470332
84	0.7492521413
85	0.7487329957
86	0.7481529153
87	0.7474610368
88	0.7468707547
89	0.7465742907
90	0.7462199631
91	0.7459251123
92	0.7456664932
93	0.74514551
94	0.744677595
95	0.7443504851
96	0.7440606524
97	0.7437248822
98	0.7433167549
99	0.7428492045
100	0.742704559
101	0.7423882212
102	0.7419175351
103	0.741425117
104	0.7411304418
105	0.7408682525
106	0.7403766814
107	0.7402318154
108	0.7400184775
109	0.7395455818
110	0.7392673364
111	0.7391309523
112	0.7388699427
113	0.7385797383
114	0.7383011022
115	0.7380322036
116	0.7377988884
117	0.7376314296
118	0.7373261252
119	0.7370379701
120	0.7367939097
121	0.7359678001
122	0.7355976162
123	0.7354221466
124	0.7350931906
125	0.7346274157
126	0.7345968439
127	0.7343024242
128	0.7340755504
129	0.7338954561
130	0.7335805044
131	0.733427776
132	0.7332548912
133	0.7330877416
134	0.7327820629
